quote_date,coverage_final,n_obs_raw,n_obs_unique,coverage,status,interp_used
2013-10-01,0.672,259,217,0.672,kept,linear
2013-10-02,0.532,253,209,0.532,kept,linear
2013-10-03,0.66,264,199,0.66,kept,linear
2013-10-04,0.782,247,205,0.782,kept,linear
2013-10-07,0.708,278,233,0.708,kept,linear
2013-10-08,0.676,340,262,0.676,kept,linear
2013-10-09,0.704,330,253,0.704,kept,linear
2013-10-10,0.544,256,191,0.544,kept,linear
2013-10-11,0.654,242,182,0.654,kept,linear
2013-10-15,0.514,258,188,0.514,kept,linear
2013-10-16,0.65,278,199,0.65,kept,linear
2013-10-17,0.668,289,217,0.668,kept,linear
2013-10-18,0.686,242,192,0.686,kept,linear
2013-10-21,0.568,249,191,0.568,kept,linear
2013-10-22,0.49,289,219,0.49,kept,linear
2013-10-23,0.554,279,214,0.554,kept,linear
2013-10-24,0.532,202,159,0.532,kept,linear
2013-10-25,0.676,242,192,0.676,kept,linear
2013-10-28,0.55,254,200,0.55,kept,linear
2013-10-29,0.574,302,237,0.574,kept,linear
2013-10-30,0.562,309,237,0.562,kept,linear
2013-10-31,0.474,240,173,0.474,kept,linear
2013-11-01,0.554,243,184,0.554,kept,linear
2013-11-04,0.602,241,182,0.602,kept,linear
2013-11-05,0.508,273,209,0.508,kept,linear
2013-11-06,0.59,243,210,0.59,kept,linear
2013-11-07,0.518,246,178,0.518,kept,linear
2013-11-08,0.602,269,202,0.602,kept,linear
2013-11-11,0.552,259,194,0.552,kept,linear
2013-11-12,0.614,276,208,0.614,kept,linear
2013-11-13,0.564,316,248,0.564,kept,linear
2013-11-14,0.55,325,232,0.55,kept,linear
2013-11-15,0.552,275,206,0.552,kept,linear
2013-11-18,0.568,299,217,0.568,kept,linear
2013-11-19,0.498,284,205,0.498,kept,linear
2013-11-20,0.546,278,206,0.546,kept,linear
2013-11-21,0.51,268,203,0.51,kept,linear
2013-11-22,0.482,227,178,0.482,kept,linear
2013-11-25,0.544,238,191,0.544,kept,linear
2013-11-26,0.44,221,173,0.44,kept,linear
2013-11-27,0.466,234,186,0.466,kept,linear
2013-11-29,0.476,188,147,0.476,kept,linear
2013-12-02,0.504,212,165,0.504,kept,linear
2013-12-03,0.488,204,156,0.488,kept,linear
2013-12-04,0.502,233,187,0.502,kept,linear
2013-12-05,0.56,196,149,0.56,kept,linear
2013-12-06,0.508,202,147,0.508,kept,linear
2013-12-09,0.446,184,132,0.446,kept,linear
2013-12-10,0.46,227,179,0.46,kept,linear
2013-12-11,0.5,250,190,0.5,kept,linear
2013-12-12,0.53,234,179,0.53,kept,linear
2013-12-13,0.532,221,167,0.532,kept,linear
2013-12-16,0.488,234,170,0.488,kept,linear
2013-12-17,0.566,225,164,0.566,kept,linear
2013-12-18,0.478,267,191,0.478,kept,linear
2013-12-19,0.434,262,192,0.434,kept,linear
2013-12-20,0.746,237,175,0.746,kept,linear
2013-12-23,0.624,238,189,0.624,kept,linear
2013-12-24,0.614,180,149,0.614,kept,linear
2013-12-26,0.732,208,155,0.732,kept,linear
2013-12-27,0.606,224,177,0.606,kept,linear
2013-12-30,0.612,241,196,0.612,kept,linear
2013-12-31,0.722,271,212,0.722,kept,linear
2014-01-02,0.622,260,201,0.622,kept,linear
2014-01-03,0.584,216,170,0.584,kept,linear
2014-01-06,0.67,262,207,0.67,kept,linear
2014-01-07,0.67,269,207,0.67,kept,linear
2014-01-08,0.66,263,215,0.66,kept,linear
2014-01-09,0.588,219,166,0.588,kept,linear
2014-01-10,0.652,231,179,0.652,kept,linear
2014-01-13,0.65,335,241,0.65,kept,linear
2014-01-14,0.656,301,225,0.656,kept,linear
2014-01-15,0.708,309,235,0.708,kept,linear
2014-01-16,0.616,240,177,0.616,kept,linear
2014-01-17,0.668,295,226,0.668,kept,linear
2014-01-21,0.68,299,224,0.68,kept,linear
2014-01-22,0.638,304,239,0.638,kept,linear
2014-01-23,0.684,387,297,0.684,kept,linear
2014-01-24,0.742,395,316,0.742,kept,linear
2014-01-27,0.746,436,342,0.746,kept,linear
2014-01-28,0.676,350,293,0.676,kept,linear
2014-01-29,0.63,427,336,0.63,kept,linear
2014-01-30,0.608,329,272,0.608,kept,linear
2014-01-31,0.718,370,307,0.718,kept,linear
2014-02-03,0.792,490,382,0.792,kept,linear
2014-02-04,0.72,397,304,0.72,kept,linear
2014-02-05,0.646,371,302,0.646,kept,linear
2014-02-06,0.694,279,239,0.694,kept,linear
2014-02-07,0.702,344,265,0.702,kept,linear
2014-02-10,0.692,344,268,0.692,kept,linear
2014-02-11,0.658,382,305,0.658,kept,linear
2014-02-12,0.612,337,291,0.612,kept,linear
2014-02-13,0.604,348,258,0.604,kept,linear
2014-02-14,0.66,365,290,0.66,kept,linear
2014-02-18,0.64,339,264,0.64,kept,linear
2014-02-19,0.586,397,307,0.586,kept,linear
2014-02-20,0.624,364,290,0.624,kept,linear
2014-02-21,0.58,309,260,0.58,kept,linear
2014-02-24,0.62,364,300,0.62,kept,linear
2014-02-25,0.558,315,271,0.558,kept,linear
2014-02-26,0.59,327,282,0.59,kept,linear
2014-02-27,0.578,274,227,0.578,kept,linear
2014-02-28,0.55,358,282,0.55,kept,linear
2014-03-03,0.582,376,311,0.582,kept,linear
2014-03-04,0.546,365,303,0.546,kept,linear
2014-03-05,0.568,310,257,0.568,kept,linear
2014-03-06,0.56,296,242,0.56,kept,linear
2014-03-07,0.558,309,255,0.558,kept,linear
2014-03-10,0.614,349,294,0.614,kept,linear
2014-03-11,0.588,374,305,0.588,kept,linear
2014-03-12,0.556,366,305,0.556,kept,linear
2014-03-13,0.544,361,285,0.544,kept,linear
2014-03-14,0.54,351,278,0.54,kept,linear
2014-03-17,0.576,341,272,0.576,kept,linear
2014-03-18,0.518,360,292,0.518,kept,linear
2014-03-19,0.492,339,275,0.492,kept,linear
2014-03-20,0.54,327,258,0.54,kept,linear
2014-03-21,0.526,351,295,0.526,kept,linear
2014-03-24,0.586,353,296,0.586,kept,linear
2014-03-25,0.596,343,288,0.596,kept,linear
2014-03-26,0.656,368,321,0.656,kept,linear
2014-03-27,0.634,286,248,0.634,kept,linear
2014-03-28,0.666,305,260,0.666,kept,linear
2014-03-31,0.542,320,275,0.542,kept,linear
2014-04-01,0.622,375,317,0.622,kept,linear
2014-04-02,0.636,407,333,0.636,kept,linear
2014-04-03,0.628,304,248,0.628,kept,linear
2014-04-04,0.606,375,299,0.606,kept,linear
2014-04-07,0.67,436,353,0.67,kept,linear
2014-04-08,0.616,337,288,0.616,kept,linear
2014-04-09,0.59,395,336,0.59,kept,linear
2014-04-10,0.634,386,310,0.634,kept,linear
2014-04-11,0.632,469,377,0.632,kept,linear
2014-04-14,0.634,409,343,0.634,kept,linear
2014-04-15,0.63,446,363,0.63,kept,linear
2014-04-16,0.634,418,345,0.634,kept,linear
2014-04-17,0.624,406,333,0.624,kept,linear
2014-04-21,0.582,310,269,0.582,kept,linear
2014-04-22,0.566,386,318,0.566,kept,linear
2014-04-23,0.584,316,274,0.584,kept,linear
2014-04-24,0.542,299,251,0.542,kept,linear
2014-04-25,0.56,353,285,0.56,kept,linear
2014-04-28,0.516,352,292,0.516,kept,linear
2014-04-29,0.522,308,256,0.522,kept,linear
2014-04-30,0.554,337,272,0.554,kept,linear
2014-05-01,0.52,296,255,0.52,kept,linear
2014-05-02,0.492,314,262,0.492,kept,linear
2014-05-05,0.562,352,296,0.562,kept,linear
2014-05-06,0.61,371,309,0.61,kept,linear
2014-05-07,0.538,337,293,0.538,kept,linear
2014-05-08,0.434,290,237,0.434,kept,linear
2014-05-09,0.522,327,263,0.522,kept,linear
2014-05-12,0.594,438,352,0.594,kept,linear
2014-05-13,0.54,382,310,0.54,kept,linear
2014-05-14,0.476,383,319,0.476,kept,linear
2014-05-15,0.54,424,339,0.54,kept,linear
2014-05-16,0.512,359,280,0.512,kept,linear
2014-05-19,0.502,361,286,0.502,kept,linear
2014-05-20,0.54,368,302,0.54,kept,linear
2014-05-21,0.492,359,300,0.492,kept,linear
2014-05-22,0.464,377,303,0.464,kept,linear
2014-05-23,0.496,315,262,0.496,kept,linear
2014-05-27,0.534,403,325,0.534,kept,linear
2014-05-28,0.436,348,293,0.436,kept,linear
2014-05-29,0.478,301,242,0.478,kept,linear
2014-05-30,0.504,307,256,0.504,kept,linear
2014-06-02,0.494,316,257,0.494,kept,linear
2014-06-03,0.466,298,243,0.466,kept,linear
2014-06-04,0.46,265,212,0.46,kept,linear
2014-06-05,0.462,322,249,0.462,kept,linear
2014-06-06,0.488,323,258,0.488,kept,linear
2014-06-09,0.428,321,256,0.428,kept,linear
2014-06-10,0.454,317,257,0.454,kept,linear
2014-06-11,0.438,322,256,0.438,kept,linear
2014-06-12,0.478,302,246,0.478,kept,linear
2014-06-13,0.402,299,239,0.402,kept,linear
2014-06-16,0.494,308,243,0.494,kept,linear
2014-06-17,0.424,277,221,0.424,kept,linear
2014-06-18,0.42,336,272,0.42,kept,linear
2014-06-19,0.64,390,306,0.64,kept,linear
2014-06-20,0.598,308,264,0.598,kept,linear
2014-06-23,0.576,310,254,0.576,kept,linear
2014-06-24,0.618,404,323,0.618,kept,linear
2014-06-25,0.586,339,282,0.586,kept,linear
2014-06-26,0.62,291,244,0.62,kept,linear
2014-06-27,0.632,282,241,0.632,kept,linear
2014-06-30,0.708,333,277,0.708,kept,linear
