model,split,node,n_predictions,rmse,mae
arima,test,iv_x01_t01,422,0.012722288952701,0.0076278794273682
arima,test,iv_x01_t02,422,0.0124869366678615,0.0074464291864319
arima,test,iv_x01_t03,422,0.0114017039011339,0.0073828547248419
arima,test,iv_x01_t04,422,0.0110912142944458,0.0072514891130197
arima,test,iv_x01_t05,422,0.0103808969777708,0.0072772378764421
arima,test,iv_x01_t06,422,0.013582043189481,0.0083805084429109
arima,test,iv_x01_t07,422,0.010160073426931,0.0074078239857349
arima,test,iv_x01_t08,422,0.0106665125579035,0.0077600672717943
arima,test,iv_x01_t09,422,0.0124183734607414,0.0086829581306188
arima,test,iv_x01_t10,422,0.0126177069232088,0.0088003065272697
arima,test,iv_x01_t11,422,0.0132421306058633,0.008728400682176
arima,test,iv_x01_t12,422,0.0125815967225918,0.0088275150421674
arima,test,iv_x01_t13,422,0.0125158104807531,0.0091333920763097
arima,test,iv_x01_t14,417,0.0125017706444114,0.0091042964757103
arima,test,iv_x01_t15,409,0.0148888751174442,0.0101136735372065
arima,test,iv_x01_t16,375,0.0145664714112441,0.009738532090527
arima,test,iv_x01_t17,305,0.0124768663487645,0.0093960423388053
arima,test,iv_x01_t18,174,0.0121430939987255,0.0091165001795976
arima,test,iv_x02_t01,422,0.0124274464968594,0.0077988840787582
arima,test,iv_x02_t02,422,0.011550784294537,0.0074850376632617
arima,test,iv_x02_t03,422,0.0111217573552046,0.0074860580370275
arima,test,iv_x02_t04,422,0.0112789210053989,0.0074622704699854
arima,test,iv_x02_t05,422,0.0106794398376507,0.007314504481768
arima,test,iv_x02_t06,422,0.0127990676349427,0.0081849879990889
arima,test,iv_x02_t07,422,0.0102895316933469,0.007604850668034
arima,test,iv_x02_t08,422,0.0106184640549653,0.0078489016300588
arima,test,iv_x02_t09,422,0.0122725730640789,0.0086506957998623
arima,test,iv_x02_t10,422,0.0117059720439122,0.0087306029148944
arima,test,iv_x02_t11,422,0.0115029754108249,0.0084091658164877
arima,test,iv_x02_t12,422,0.0110257931188506,0.008275790391999
arima,test,iv_x02_t13,422,0.0117079700326176,0.0087526651790214
arima,test,iv_x02_t14,422,0.0125298904205158,0.0094608310827895
arima,test,iv_x02_t15,422,0.0141639034116046,0.0100492244204112
arima,test,iv_x02_t16,417,0.0150978210906702,0.0107895392606694
arima,test,iv_x02_t17,375,0.0144289094646503,0.0102285347611728
arima,test,iv_x02_t18,227,0.0124301631329805,0.0090547615426774
arima,test,iv_x03_t01,422,0.0123980474640683,0.0075838608576212
arima,test,iv_x03_t02,422,0.0120722580480772,0.0078117348970122
arima,test,iv_x03_t03,422,0.0112640409955087,0.0073376653695153
arima,test,iv_x03_t04,422,0.0114306984845792,0.00753672185164
arima,test,iv_x03_t05,422,0.0105091094474435,0.0073697340662575
arima,test,iv_x03_t06,422,0.0107117552678436,0.0073540140917472
arima,test,iv_x03_t07,422,0.0095588709834481,0.0070714457263576
arima,test,iv_x03_t08,422,0.0103985533246987,0.0076877464146682
arima,test,iv_x03_t09,422,0.0106766497195074,0.0080190454669035
arima,test,iv_x03_t10,422,0.0108258548336315,0.0082375136281251
arima,test,iv_x03_t11,422,0.0110558185588683,0.0082995012956929
arima,test,iv_x03_t12,422,0.0117033699758383,0.0087913996817045
arima,test,iv_x03_t13,422,0.0121655587937427,0.008946762627614
arima,test,iv_x03_t14,422,0.0125450387944328,0.0093859234880444
arima,test,iv_x03_t15,422,0.0133925885780021,0.0098755481283118
arima,test,iv_x03_t16,421,0.0142668102477247,0.0101424573860961
arima,test,iv_x03_t17,402,0.0139812237963721,0.0100960958111437
arima,test,iv_x03_t18,249,0.0132938546972839,0.0093665595095077
arima,test,iv_x04_t01,422,0.0126950340944721,0.007881980941044
arima,test,iv_x04_t02,422,0.0119776638965549,0.0077554426387756
arima,test,iv_x04_t03,422,0.0109182321046045,0.007420189595609
arima,test,iv_x04_t04,422,0.0113589855330534,0.0075607881951801
arima,test,iv_x04_t05,422,0.0136043600266175,0.0082776124797224
arima,test,iv_x04_t06,422,0.011601016661257,0.0081281935897007
arima,test,iv_x04_t07,422,0.0103773659624653,0.0076365904284116
arima,test,iv_x04_t08,422,0.0119559450265864,0.0085761218627013
arima,test,iv_x04_t09,422,0.0111579199545938,0.0082004542559833
arima,test,iv_x04_t10,422,0.0118483324835379,0.0085087769753853
arima,test,iv_x04_t11,422,0.011303788572317,0.008215704798557
arima,test,iv_x04_t12,422,0.0126199795815445,0.0088626437124967
arima,test,iv_x04_t13,422,0.0119771802169478,0.0090072740042176
arima,test,iv_x04_t14,422,0.0124485956498004,0.0094555125862748
arima,test,iv_x04_t15,422,0.0132042474480073,0.0099686737456824
arima,test,iv_x04_t16,422,0.0133804897486517,0.0098830896636993
arima,test,iv_x04_t17,416,0.014672151514228,0.0104370948821276
arima,test,iv_x04_t18,263,0.012149322611799,0.008987808013521
arima,test,iv_x05_t01,422,0.0133175252117959,0.0083012814320145
arima,test,iv_x05_t02,422,0.0112398398550953,0.0074275961544823
arima,test,iv_x05_t03,422,0.0114647498923601,0.0078319491339142
arima,test,iv_x05_t04,422,0.0116689937734406,0.0078172401626758
arima,test,iv_x05_t05,422,0.0111472740367935,0.0078403329455333
arima,test,iv_x05_t06,422,0.0118742283220903,0.0080958352004502
arima,test,iv_x05_t07,422,0.0106724872793434,0.007941830541073
arima,test,iv_x05_t08,422,0.0111174562577791,0.0082006945510978
arima,test,iv_x05_t09,422,0.0106056369130897,0.0078408484856195
arima,test,iv_x05_t10,422,0.0118919427778077,0.0087187444269287
arima,test,iv_x05_t11,422,0.0112882988413386,0.0085247954065164
arima,test,iv_x05_t12,422,0.0115464571318636,0.0086385614284085
arima,test,iv_x05_t13,422,0.0128236923171549,0.0093820483771881
arima,test,iv_x05_t14,422,0.0122411796021897,0.0093951034234245
arima,test,iv_x05_t15,422,0.0136463832877479,0.0101320504579377
arima,test,iv_x05_t16,422,0.0130273384583271,0.0097967248830382
arima,test,iv_x05_t17,418,0.0136999495661544,0.0102259640260736
arima,test,iv_x05_t18,271,0.0131369457047887,0.0093913386456918
arima,test,iv_x06_t01,422,0.012410582519342,0.0078745239304796
arima,test,iv_x06_t02,422,0.0112779944835048,0.007425707077323
arima,test,iv_x06_t03,422,0.0111676358922647,0.0076259921187018
arima,test,iv_x06_t04,422,0.0111051180631755,0.0077230437837905
arima,test,iv_x06_t05,422,0.0106749766073443,0.0075406540781331
arima,test,iv_x06_t06,422,0.0129913201674846,0.0091626450736408
arima,test,iv_x06_t07,422,0.0103376835005995,0.0075676507712334
arima,test,iv_x06_t08,422,0.0106435604788248,0.0077902231034496
arima,test,iv_x06_t09,422,0.0111985640969185,0.0080010419913268
arima,test,iv_x06_t10,422,0.0110992277829573,0.0081673482612443
arima,test,iv_x06_t11,422,0.0119568368299564,0.0087679461831851
arima,test,iv_x06_t12,422,0.0123286407868637,0.0091993348835155
arima,test,iv_x06_t13,422,0.0121331665584775,0.0091946819979529
arima,test,iv_x06_t14,422,0.0121492968475175,0.0092577297011068
arima,test,iv_x06_t15,422,0.0133128017360251,0.0099317751460132
arima,test,iv_x06_t16,422,0.0127857386850738,0.0095301263730535
arima,test,iv_x06_t17,421,0.0134336305471259,0.0099483411697394
arima,test,iv_x06_t18,273,0.0127879446489263,0.0091475160254261
arima,test,iv_x06_t19,21,0.0235040776114611,0.0201251141192949
arima,test,iv_x07_t01,422,0.0118919867973645,0.0077650760450511
arima,test,iv_x07_t02,422,0.011458142418424,0.0076887892087415
arima,test,iv_x07_t03,422,0.0112153181512637,0.0076510057608394
arima,test,iv_x07_t04,422,0.0106986439453752,0.0075629982811892
arima,test,iv_x07_t05,422,0.0114750537831635,0.0080964021608335
arima,test,iv_x07_t06,422,0.0112831420114118,0.0080426752434921
arima,test,iv_x07_t07,422,0.0110803276855119,0.0080335877368883
arima,test,iv_x07_t08,422,0.0107659481743461,0.0077432023291651
arima,test,iv_x07_t09,422,0.0115591733655911,0.0085480970450694
arima,test,iv_x07_t10,422,0.0120073406458986,0.0086741164294494
