model,split,node,n_predictions,rmse,mae
naive_persistence,test,iv_x01_t01,422,0.0127677023540608,0.0074509678976034
naive_persistence,test,iv_x01_t02,422,0.0130899545626825,0.0074080241405162
naive_persistence,test,iv_x01_t03,422,0.0115953697573099,0.0072902615258593
naive_persistence,test,iv_x01_t04,422,0.0113566150486955,0.0072829545035175
naive_persistence,test,iv_x01_t05,422,0.0106026861091946,0.0073314567102516
naive_persistence,test,iv_x01_t06,422,0.0151642999499565,0.0084829393477304
naive_persistence,test,iv_x01_t07,422,0.0105745155057624,0.0075456224547111
naive_persistence,test,iv_x01_t08,422,0.0110294066865299,0.0078496365383623
naive_persistence,test,iv_x01_t09,422,0.0134523914467975,0.0090452114619734
naive_persistence,test,iv_x01_t10,422,0.0133558202484979,0.0089343069176224
naive_persistence,test,iv_x01_t11,422,0.014991170547367,0.0093759902985991
naive_persistence,test,iv_x01_t12,422,0.0139655541188819,0.0092413966740452
naive_persistence,test,iv_x01_t13,422,0.0135729404211151,0.0095040521985052
naive_persistence,test,iv_x01_t14,412,0.0137710557111171,0.0096169328496904
naive_persistence,test,iv_x01_t15,396,0.0161524077748376,0.0105996751870151
naive_persistence,test,iv_x01_t16,332,0.0158688870591111,0.0103016950712383
naive_persistence,test,iv_x01_t17,241,0.0132194891917091,0.0094869939653813
naive_persistence,test,iv_x01_t18,116,0.0131082617368932,0.0089679195817914
naive_persistence,test,iv_x02_t01,422,0.0124512793039775,0.0075810388842924
naive_persistence,test,iv_x02_t02,422,0.0115786660282665,0.0073313408846752
naive_persistence,test,iv_x02_t03,422,0.0112125161134556,0.0072814186930803
naive_persistence,test,iv_x02_t04,422,0.0115468251370408,0.007443908949272
naive_persistence,test,iv_x02_t05,422,0.0110012674094177,0.0074165674455494
naive_persistence,test,iv_x02_t06,422,0.0134455929325235,0.0083360214904901
naive_persistence,test,iv_x02_t07,422,0.0104976383392756,0.0075568738927345
naive_persistence,test,iv_x02_t08,422,0.0111559389540079,0.0080680976051441
naive_persistence,test,iv_x02_t09,422,0.0134481835179956,0.0090726514597651
naive_persistence,test,iv_x02_t10,422,0.0122416965290185,0.0089157675145535
naive_persistence,test,iv_x02_t11,422,0.0118242227674761,0.0086046611576312
naive_persistence,test,iv_x02_t12,422,0.011426032235188,0.0084799471975466
naive_persistence,test,iv_x02_t13,422,0.0125001574331477,0.009081147053709
naive_persistence,test,iv_x02_t14,422,0.0136396845041034,0.0099483650799958
naive_persistence,test,iv_x02_t15,422,0.0150738386551491,0.0104438605150698
naive_persistence,test,iv_x02_t16,412,0.0162112457232997,0.0110379568038174
naive_persistence,test,iv_x02_t17,339,0.0157721165740576,0.0107451725148318
naive_persistence,test,iv_x02_t18,185,0.0124823752066895,0.0089412890823617
naive_persistence,test,iv_x03_t01,422,0.0126736304564562,0.0075894146150883
naive_persistence,test,iv_x03_t02,422,0.0123649969974673,0.0076907719888934
naive_persistence,test,iv_x03_t03,422,0.0112269598799454,0.0072326245863741
naive_persistence,test,iv_x03_t04,422,0.0116919894752867,0.0074922815658851
naive_persistence,test,iv_x03_t05,422,0.0109651804679031,0.0076014099420137
naive_persistence,test,iv_x03_t06,422,0.0111453227502979,0.0074358270493023
naive_persistence,test,iv_x03_t07,422,0.0096477090627205,0.0070930424519607
naive_persistence,test,iv_x03_t08,422,0.0109577109263608,0.0079603066904329
naive_persistence,test,iv_x03_t09,422,0.0112584953909368,0.0082557763584725
naive_persistence,test,iv_x03_t10,422,0.0112040792514966,0.0083669073661817
naive_persistence,test,iv_x03_t11,422,0.0115864003650534,0.0085406566894062
naive_persistence,test,iv_x03_t12,422,0.0124976151403372,0.0091492260569709
naive_persistence,test,iv_x03_t13,422,0.0129708477583436,0.0092140615110419
naive_persistence,test,iv_x03_t14,422,0.0136250308724373,0.0100047146388516
naive_persistence,test,iv_x03_t15,422,0.0141664458453093,0.0102402908602836
naive_persistence,test,iv_x03_t16,420,0.015457945205993,0.0106965775121999
naive_persistence,test,iv_x03_t17,383,0.0149654146561714,0.0106105705697013
naive_persistence,test,iv_x03_t18,216,0.0135436324096328,0.0094301217268293
naive_persistence,test,iv_x04_t01,422,0.0129118854799289,0.0078737320060745
naive_persistence,test,iv_x04_t02,422,0.0122249939861842,0.0076990383544142
naive_persistence,test,iv_x04_t03,422,0.0108937844905081,0.0071378567018305
naive_persistence,test,iv_x04_t04,422,0.0117079512630812,0.0074869521951119
naive_persistence,test,iv_x04_t05,422,0.0139988062721264,0.008191068897109
naive_persistence,test,iv_x04_t06,422,0.0120786140344447,0.0081643645774291
naive_persistence,test,iv_x04_t07,422,0.0106059291091338,0.0076496259078324
naive_persistence,test,iv_x04_t08,422,0.0127373907346959,0.0087009802915302
naive_persistence,test,iv_x04_t09,422,0.0119187816284591,0.0086366511578074
naive_persistence,test,iv_x04_t10,422,0.0126132681472797,0.0086021738156387
naive_persistence,test,iv_x04_t11,422,0.0118579751652484,0.0083647133965395
naive_persistence,test,iv_x04_t12,422,0.013641530261342,0.0091155226746148
naive_persistence,test,iv_x04_t13,422,0.0129617178416098,0.0094684605632645
naive_persistence,test,iv_x04_t14,422,0.0132286226590819,0.0097151403809957
naive_persistence,test,iv_x04_t15,422,0.0137269809955993,0.0099203168920996
naive_persistence,test,iv_x04_t16,422,0.0143750497001456,0.0103000161458995
naive_persistence,test,iv_x04_t17,410,0.0152638734240593,0.0106795390591388
naive_persistence,test,iv_x04_t18,238,0.0121393672535731,0.0090960781446993
naive_persistence,test,iv_x05_t01,422,0.0137671325452836,0.0083200444420943
naive_persistence,test,iv_x05_t02,422,0.0111968319662218,0.0073063996475542
naive_persistence,test,iv_x05_t03,422,0.0116697299893768,0.0076911298257266
naive_persistence,test,iv_x05_t04,422,0.0120274501499885,0.007738514153017
naive_persistence,test,iv_x05_t05,422,0.0114168051165018,0.0078269546406001
naive_persistence,test,iv_x05_t06,422,0.0125161292339128,0.0082338816362285
naive_persistence,test,iv_x05_t07,422,0.010900387678846,0.0079727947360442
naive_persistence,test,iv_x05_t08,422,0.0115618290124827,0.0083419326734182
naive_persistence,test,iv_x05_t09,422,0.0110892594415478,0.0081558143988123
naive_persistence,test,iv_x05_t10,422,0.0126383906942711,0.0088977122172874
naive_persistence,test,iv_x05_t11,422,0.0118194644911329,0.0087125522414641
naive_persistence,test,iv_x05_t12,422,0.0121315060898035,0.0088713333388204
naive_persistence,test,iv_x05_t13,422,0.0139049100377724,0.0096941553677356
naive_persistence,test,iv_x05_t14,422,0.0130409997762815,0.0097765002948947
naive_persistence,test,iv_x05_t15,422,0.0146185446530365,0.0104190145818625
