model,split,node,n_predictions,rmse,mae
xgboost,test,iv_x01_t01,422,0.0125702595903047,0.0076344635792978
xgboost,test,iv_x01_t02,422,0.0120832253709529,0.0074339642888691
xgboost,test,iv_x01_t03,422,0.0115244325736072,0.0074907706128809
xgboost,test,iv_x01_t04,422,0.011135918892033,0.0071312525778875
xgboost,test,iv_x01_t05,422,0.0107011266541498,0.0072710987376628
xgboost,test,iv_x01_t06,422,0.0129160419864814,0.0077914716679768
xgboost,test,iv_x01_t07,422,0.0104318004933324,0.0073285594523755
xgboost,test,iv_x01_t08,422,0.0108118557500207,0.007751536646281
xgboost,test,iv_x01_t09,422,0.0121757423641492,0.0084551406172832
xgboost,test,iv_x01_t10,422,0.0122654359296796,0.0085923704611714
xgboost,test,iv_x01_t11,422,0.012814744272292,0.0086612407040999
xgboost,test,iv_x01_t12,422,0.0121844968956157,0.0088063710344905
xgboost,test,iv_x01_t13,422,0.0124868263718987,0.009334300873862
xgboost,test,iv_x01_t14,417,0.0131928183758687,0.0096212702441777
xgboost,test,iv_x01_t15,409,0.0157450162423538,0.0108685575705795
xgboost,test,iv_x01_t16,375,0.0159316947557242,0.0110783821512243
xgboost,test,iv_x01_t17,305,0.0144901301078463,0.0113823623285374
xgboost,test,iv_x01_t18,174,0.018007156950835,0.0140489108759211
xgboost,test,iv_x02_t01,422,0.0122660432373173,0.0077971143841481
xgboost,test,iv_x02_t02,422,0.011253513183466,0.0072365200829043
xgboost,test,iv_x02_t03,422,0.0113266502498917,0.0076457116851216
xgboost,test,iv_x02_t04,422,0.0113393427990178,0.0072551630878015
xgboost,test,iv_x02_t05,422,0.0111653065962452,0.0074284551932831
xgboost,test,iv_x02_t06,422,0.0124479244718457,0.0078942694707598
xgboost,test,iv_x02_t07,422,0.0103226295729686,0.0073748214433751
xgboost,test,iv_x02_t08,422,0.0105385982353828,0.0077662731931584
xgboost,test,iv_x02_t09,422,0.0119240765393166,0.0086002079934454
xgboost,test,iv_x02_t10,422,0.0117587161451624,0.0087673897404367
xgboost,test,iv_x02_t11,422,0.0111416328772606,0.0085822416042996
xgboost,test,iv_x02_t12,422,0.010929737432379,0.0085136833650316
xgboost,test,iv_x02_t13,422,0.0113611793611618,0.0088509516781619
xgboost,test,iv_x02_t14,422,0.0124193419100592,0.0094905833501445
xgboost,test,iv_x02_t15,422,0.0144327197120566,0.0104254569079279
xgboost,test,iv_x02_t16,417,0.0156150466784594,0.0114023325245569
xgboost,test,iv_x02_t17,375,0.0149826877688394,0.0110612726268361
xgboost,test,iv_x02_t18,227,0.0151043833258621,0.0111513894575656
xgboost,test,iv_x03_t01,422,0.0120591214341787,0.0073981543174226
xgboost,test,iv_x03_t02,422,0.0121650428364874,0.0077705346871862
xgboost,test,iv_x03_t03,422,0.0112119227339708,0.0072677524860216
xgboost,test,iv_x03_t04,422,0.0113608029917032,0.0074788422896653
xgboost,test,iv_x03_t05,422,0.0106993853942221,0.0074953988432719
xgboost,test,iv_x03_t06,422,0.010920888892528,0.007471998423988
xgboost,test,iv_x03_t07,422,0.0097073978288513,0.0069997932800458
xgboost,test,iv_x03_t08,422,0.0105963609640713,0.0076895407699974
xgboost,test,iv_x03_t09,422,0.0104637652630529,0.0078267728212577
xgboost,test,iv_x03_t10,422,0.0106724336790635,0.0081541773808487
xgboost,test,iv_x03_t11,422,0.0108431028693497,0.0081516644632408
xgboost,test,iv_x03_t12,422,0.0117335103329997,0.0088515565423416
xgboost,test,iv_x03_t13,422,0.0118738681147679,0.0089199086748335
xgboost,test,iv_x03_t14,422,0.0123315351058296,0.0094391190460544
xgboost,test,iv_x03_t15,422,0.013043168347192,0.0097780502835556
xgboost,test,iv_x03_t16,421,0.0141488433259957,0.0104227851251707
xgboost,test,iv_x03_t17,402,0.0142588111914017,0.0110173377000865
xgboost,test,iv_x03_t18,249,0.0151153330786161,0.0109634395783251
xgboost,test,iv_x04_t01,422,0.0128440603239898,0.007861841313076
xgboost,test,iv_x04_t02,422,0.0121817143420752,0.0077354088416169
xgboost,test,iv_x04_t03,422,0.0111745662062081,0.0073575126323491
xgboost,test,iv_x04_t04,422,0.0114279362310507,0.0076753593204333
xgboost,test,iv_x04_t05,422,0.0134874355311677,0.0084008200650864
xgboost,test,iv_x04_t06,422,0.0117789527062469,0.0082745323141896
xgboost,test,iv_x04_t07,422,0.0106304409164965,0.0078059632761889
