metric,value,,,Indicator,Valoare
raw_rows,"69,596,970",,,Observa?ii brute ini?iale,"69,596,970"
rows_after_cleaning,"6,713,294",,,Observa?ii dup? cur??area datelor,"6,713,294"
rows_in_iv_output,"6,713,294",,,Observa?ii în baza de date cu IV calculat?,"6,713,294"
rows_with_valid_implied_vol,"6,713,293",,,Observa?ii cu volatilitate implicit? valid?,"6,713,293"
grid_long_rows,"1,404,000",,,Observa?ii în format long pe grila IV,"1,404,000"
grid_days,"2,808",,,Num?r de zile incluse în grila IV,"2,808"
selected_signals,"8,440",,,Semnale selectate pentru portofoliu,"8,440"
strict_realistic_positions_traded,"4,698",,,Pozi?ii tranzac?ionate în backtestul realist strict,"4,698"
iv_total_rows_check,"6,713,294",,,Num?r total de observa?ii IV,"6,713,294"
valid_iv_rate_vs_iv_output_pct,100,,,Rata observa?iilor cu IV valid?,100
