metric,value
total_delta_mean,0.05605290978034839
total_delta_std,0.14740742958853598
total_delta_min,-0.4449528680814015
total_delta_max,0.5072848462599338
total_gamma_mean,2.1779962530194206e-05
total_gamma_std,8.36432288349715e-05
total_gamma_min,-0.000285856114566
total_gamma_max,0.0002998522424054
total_vega_mean,-38.25981748841359
total_vega_std,204.6169925729675
total_vega_min,-665.3487623494356
total_vega_max,507.3992215291184
total_theta_mean,1.0226825690755457
total_theta_std,29.975571526541327
total_theta_min,-101.92719460826989
total_theta_max,91.5333241291342
gross_delta_mean,0.26749699711918146
gross_delta_std,0.08693032392762164
gross_delta_min,0.0905480185664958
gross_delta_max,0.5203639328333322
gross_gamma_mean,0.0004147004321675114
gross_gamma_std,9.263010876153897e-05
gross_gamma_min,0.0001816171022666
gross_gamma_max,0.0007599475923887
gross_vega_mean,1189.1120023906149
gross_vega_std,290.0933508620622
gross_vega_min,431.3219098654049
gross_vega_max,1990.5594058998784
gross_theta_mean,131.35729952331872
gross_theta_std,38.32234991473957
gross_theta_min,59.6937759108752
gross_theta_max,328.1099468760944
